Height,Weight
68.29438,127.40
65.12886,144.27
70.57005,145.81
73.05003,153.78
66.13913,126.12
67.15543,143.35
67.61729,115.54
72.08878,129.34
65.56805,103.64
68.27811,139.15
66.11831,117.62
67.41631,117.74
67.14346,123.64
67.82005,106.70
67.84632,124.33
69.31979,146.82
67.7887,117.17
69.47633,127.52
67.58136,124.48
69.76561,125.74
65.89876,127.59
64.31284,107.39
64.16388,110.70
63.87961,112.66
67.43935,122.12
69.91231,136.45
70.18686,122.37
70.58163,142.93
68.39877,144.80
69.9265,152.41
66.84336,113.38
65.37327,117.29
69.85898,109.05
66.18835,117.18
67.39835,133.06
64.43316,122.84
66.94628,120.02
67.21511,109.38
69.1414,132.07
69.60375,136.92
68.52138,128.90
67.69719,117.65
69.5896,117.42
66.24536,122.83
69.5915,139.74
70.11961,115.91
69.77869,115.53
70.92696,145.31
68.12409,127.47
67.03516,126.96
71.11926,147.09
67.08274,145.55
62.59583,116.00
68.20021,130.12
69.0616,105.83
68.03726,122.80
70.14716,128.81
67.86308,129.17
67.97814,134.91
68.54857,112.77
69.63469,102.46
67.85196,138.05
68.15862,125.27
70.15549,132.92
71.0108,150.75
66.5613,122.03
68.75828,131.49
69.70189,117.10
67.25892,125.44
71.01041,149.53
66.776,133.18
69.61543,144.88
67.75246,115.15
68.96307,129.63
67.31179,137.50
70.40367,122.87
67.13402,126.52
64.17145,107.15
67.39792,144.82
66.64574,130.31
70.47683,127.18
72.08897,125.18
68.85095,122.54
71.93306,138.51
67.65224,129.66
68.43764,121.42
65.59721,113.78
73.6454,131.33
69.86288,133.53
66.14574,121.42
68.67138,114.29
68.80011,117.69
66.91779,123.58
66.04945,124.00
65.30509,123.36
68.64586,132.25
66.70357,104.92
66.60702,122.12
71.36658,141.78
64.98614,120.15
